id	name	class
!!a	a	MagicKnight	No
experttrackerstarta	Expert Tracker	Special	A
experttrackerstartb	Expert Tracker	Special	B
falconshotstart	Falcon Shot	Special	No
falconshotstarta	Falcon Shot	Special	A
falconshotstartb	Falcon Shot	Special	B
fatedfuture	Fated Future	Special	No
fatedfuturea	Fated Future	Special	A
fatedfutureb	Fated Future	Special	B
feedtherich	Feed The Rich	Special	No
feedthericha	Feed The Rich	Special	A
feedtherichb	Feed The Rich	Special	B
fieryshieldstart	Fiery Shield	Special	No
fieryshieldstarta	Fiery Shield	Special	A
fieryshieldstartb	Fiery Shield	Special	B
fieryweapons	Fiery Weapons	Special	No
fieryweaponsa	Fiery Weapons	Special	A
fieryweaponsb	Fiery Weapons	Special	B
fireproof	Fireproof	Special	No
fireproofa	Fireproof	Special	A
fireproofb	Fireproof	Special	B
focusheal	Focus Heal	Special	No
focusheala	Focus Heal	Special	A
focushealb	Focus Heal	Special	B
followup	Follow-up	Special	No
followupa	Follow-up	Special	A
followupb	Follow-up	Special	B
forstbite	Wild Hunt	Special	No
freshmeatstart	Fresh Meat!	Special	No
freshmeatstarta	Fresh Meat!	Special	A
freshmeatstartb	Fresh Meat!	Special	B
frostweapons	Frost Weapons	Special	No
frostweaponsa	Frost Weapons	Special	A
frostweaponsb	Frost Weapons	Special	B
fusionlaser	Fusion Laser	Special	No
fusionlasera	Fusion Laser	Special	A
fusionlaserb	Fusion Laser	Special	B
givetothepoor	Give To The Poor	Special	No
givetothepoora	Give To The Poor	Special	A
givetothepoorb	Give To The Poor	Special	B
grudge	Grudge	Special	No
grudgea	Grudge	Special	A
grudgeb	Grudge	Special	B
hawkeye	Hawkeye	Special	No
hawkeyea	Hawkeye	Special	A
hawkeyeb	Hawkeye	Special	B
heatlaserstart	Heat Laser	Special	No
heatlaserstarta	Heat Laser	Special	A
heatlaserstartb	Heat Laser	Special	B
heavenlyjustice	Heavenly Justice	Special	No
heavenlyjusticea	Heavenly Justice	Special	A
heavenlyjusticeb	Heavenly Justice	Special	B
heavenlyprotection	Heavenly Protection	Special	No
heavenlyprotectiona	Heavenly Protection	Special	A
heavenlyprotectionb	Heavenly Protection	Special	B
heavymetal	Heavy Metal	Special	No
heavymetala	Heavy Metal	Special	A
heavymetalb	Heavy Metal	Special	B
hellflame	Hellflame	Special	No
hellflamea	Hellflame	Special	A
hellflameb	Hellflame	Special	B
hiddenhand	Hidden Hand	Special	No
hiddenhanda	Hidden Hand	Special	A
hiddenhandb	Hidden Hand	Special	B
holycrusader	Holy Crusader	Special	No
holycrusadera	Holy Crusader	Special	A
holycrusaderb	Holy Crusader	Special	B
holysymbol	Holy Symbol	Special	No
holysymbola	Holy Symbol	Special	A
holysymbolb	Holy Symbol	Special	B
icepalace	Ice Palace	Special	No
icepalacea	Ice Palace	Special	A
icepalaceb	Ice Palace	Special	B
improvedlaser	Improved Laser	Special	No
infestation	Infestation	Special	No
infestationa	Infestation	Special	A
infestationb	Infestation	Special	B
killerinstincstart	Killer Instinct	Special	No
killerinstincstarta	Killer Instinct	Special	A
killerinstincstartb	Killer Instinct	Special	B
lastguardian	Last Guardian	Special	No
lastguardiana	Last Guardian	Special	A
lastguardianb	Last Guardian	Special	B
layonpaws	Lay on Paws	Special	No
layonpawsstart	Lay on Paws	Special	No
layonpawsstarta	Lay on Paws	Special	A
layonpawsstartb	Lay on Paws	Special	B
lightfeet	Light Feet	Special	No
loveenhancer	Love Enhancer	Special	No
loveenhancera	Love Enhancer	Special	A
loveenhancerb	Love Enhancer	Special	B
maledictionstart	Malediction	Special	No
maledictionstarta	Malediction	Special	A
maledictionstartb	Malediction	Special	B
maneuver	Maneuver	Special	No
maneuvera	Maneuver	Special	A
maneuverb	Maneuver	Special	B
melodicrhythm	Melodic Rhythm	Special	No
melodicrhythma	Melodic Rhythm	Special	A
melodicrhythmb	Melodic Rhythm	Special	B
nightterror	Night Terror	Special	No
nightterrora	Night Terror	Special	A
nightterrorb	Night Terror	Special	B
onslaught	Onslaught	Special	No
onslaughta	Onslaught	Special	A
onslaughtb	Onslaught	Special	B
phoenix	Phoenix	Special	No
phoenixa	Phoenix	Special	A
phoenixb	Phoenix	Special	B
pillage	Pillage	Special	No
pillagea	Pillage	Special	A
pillageb	Pillage	Special	B
powerslavestart	Powerslave	Special	No
powerslavestarta	Powerslave	Special	A
powerslavestartb	Powerslave	Special	B
praisethesun	Praise the Sun	Special	No
praisethesuna	Praise the Sun	Special	A
praisethesunb	Praise the Sun	Special	B
purrification	Purrification	Special	No
purrificationa	Purrification	Special	A
purrificationb	Purrification	Special	B
reactivelaser	Reactive Laser	Special	No
reactivelasera	Reactive Laser	Special	A
reactivelaserb	Reactive Laser	Special	B
redstorm	Red Storm	Special	No
redstorma	Red Storm	Special	A
redstormb	Red Storm	Special	B
regalcold	Regal Cold	Special	No
regalcolda	Regal Cold	Special	A
regalcoldb	Regal Cold	Special	B
riposte	Riposte	Special	No
ripostea	Riposte	Special	A
riposteb	Riposte	Special	B
sausagefactory	Sausage Factory	Special	No
sausagefactorya	Sausage Factory	Special	A
sausagefactoryb	Sausage Factory	Special	B
serratedweapons	Serrated Weapons	Special	No
serratedweaponsa	Serrated Weapons	Special	A
serratedweaponsb	Serrated Weapons	Special	B
shadowimbuement	Shadow Imbuement	Special	No
shadowimbuementa	Shadow Imbuement	Special	A
shadowimbuementb	Shadow Imbuement	Special	B
shatteringfists	Shattering Fists	Special	No
shatteringfistsa	Shattering Fists	Special	A
shatteringfistsb	Shattering Fists	Special	B
skillful	Skillful	Special	No
skillfula	Skillful	Special	A
skillfulb	Skillful	Special	B
solarflare	Solar Flare	Special	No
solarflarea	Solar Flare	Special	A
solarflareb	Solar Flare	Special	B
spellecho	Spell Echo	Special	No
spellechoa	Spell Echo	Special	A
spellechob	Spell Echo	Special	B
steelforge	Steel Forge	Special	No
steelforgea	Steel Forge	Special	A
steelforgeb	Steel Forge	Special	B
subterfuge	Subterfuge	Special	No
subterfugea	Subterfuge	Special	A
subterfugeb	Subterfuge	Special	B
targetshooting	Target Shooting	Special	No
targetshootinga	Target Shooting	Special	A
targetshootingb	Target Shooting	Special	B
teslacoil	Tesla Coil	Special	No
teslacoila	Tesla Coil	Special	A
teslacoilb	Tesla Coil	Special	B
thechosenone	The Chosen One	Special	No
thechosenonea	The Chosen One	Special	A
thechosenoneb	The Chosen One	Special	B
thunderclap	Thunderclap	Special	No
thunderclapa	Thunderclap	Special	A
thunderclapb	Thunderclap	Special	B
transcribe	Transcribe	Special	No
transcribea	Transcribe	Special	A
transcribeb	Transcribe	Special	B
twinscrollsstart	Twin Scrolls	Special	No
twinscrollsstarta	Twin Scrolls	Special	A
twinscrollsstartb	Twin Scrolls	Special	B
undyingwill	Undying Will	Special	No
undyingwilla	Undying Will	Special	A
undyingwillb	Undying Will	Special	B
unwaveringfaith	Unwavering Faith	Special	No
unwaveringfaitha	Unwavering Faith	Special	A
unwaveringfaithb	Unwavering Faith	Special	B
vaccine	Vaccine	Special	No
vaccinea	Vaccine	Special	A
vaccineb	Vaccine	Special	B
valiantdefender	Valiant Defender	Special	No
valiantdefendera	Valiant Defender	Special	A
valiantdefenderb	Valiant Defender	Special	B
vengeance	Vengeance	Special	No
vengeancestart	Vengeance	Special	No
vengeancestarta	Vengeance	Special	A
vengeancestartb	Vengeance	Special	B
vigorousfurystart	Vigorous Fury	Special	No
vigorousfurystarta	Vigorous Fury	Special	A
vigorousfurystartb	Vigorous Fury	Special	B
wildhunt	Wild Hunt	Special	No
wildhunta	Wild Hunt	Special	A
wildhuntb	Wild Hunt	Special	B
wolfguard	Wolf Guard	Special	No
wolfguarda	Wolf Guard	Special	A
wolfguardb	Wolf Guard	Special	B
worldinflames	World in Flames	Special	No
worldinflamesa	World in Flames	Special	A
worldinflamesb	World in Flames	Special	B
yangritual	Yang Ritual	Special	No
yangrituala	Yang Ritual	Special	A
yangritualb	Yang Ritual	Special	B
yinritual	Yin Ritual	Special	No
yinrituala	Yin Ritual	Special	A
yinritualb	Yin Ritual	Special	B
stormcorruption	Storm	Monster	No
stormcorruptiona	Storm	Monster	A
stormcorruptionb	Storm	Monster	B
stormcorruptionrare	Storm	Monster	Rare
stormitem	Storm	Special	No
stormwardspecial	Storm Ward	Special	No
stormwardspecialb	Storm Ward	Special	No
swap	Swap	Special	No
tabularasacorruption	Tabula Rasa	Monster	No
tabularasam	Tabula Rasa	Special	No
tantrumitem	Tantrum	Special	No
commandandconquer	Command and Conquer	Special	No
commandandconquera	Command and Conquer	Special	A
commandandconquerb	Command and Conquer	Special	B
cursemancy	Cursemancy	Special	No
cursemancya	Cursemancy	Special	A
cursemancyb	Cursemancy	Special	B
deathsembrace	Death's Embrace	Special	No
deathsembracea	Death's Embrace	Special	A
deathsembraceb	Death's Embrace	Special	B
defensivestrategy	Defensive Strategy	Special	No
defensivestrategya	Defensive Strategy	Special	A
defensivestrategyb	Defensive Strategy	Special	B
downpouritem	Downpour	Special	No
downpouritemrare	Downpour	Special	Rare
hurryupitem	Hurry Up	Special	No
hurryupitemrare	Hurry Up	Special	Rare
iciclelauncheritem	Icicle Launcher	Special	No
iciclelauncheritemrare	Icicle Launcher	Special	Rare
palisadeitem	Palisade	Special	No
palisadeitemrare	Palisade	Special	Rare
riftforce	Rift Force	Special	No
riftforcea	Rift Force	Special	A
riftforceb	Rift Force	Special	B
soulharvest	Soul Harvest	Special	No
soulharvesta	Soul Harvest	Special	A
soulharvestb	Soul Harvest	Special	B
stampede	Stampede	Special	No
stampedea	Stampede	Special	A
stampedeb	Stampede	Special	B
standardbearer	Standard Bearer	Special	No
standardbearerstart	Standard Bearer	Special	No
standardbearerstarta	Standard Bearer	Special	A
standardbearerstartb	Standard Bearer	Special	B
unforgivingnature	Unforgiving Nature	Special	No
unforgivingnaturea	Unforgiving Nature	Special	A
unforgivingnatureb	Unforgiving Nature	Special	B
thunderfuryspecial	Thunderfury	Special	No
toxicrainspecial	Toxic Rain	Special	No
twinscrolls	Twin Scrolls	Special	No
unholysmiteitem	Unholy Smite	Special	No
vigorousfury	Vigorous Fury	Special	No
windblessingitem	Wind Blessing	Special	No
windblessingitemb	Wind Blessing	Special	No
speedyours	SpeedYours	MagicKnight	No
allin	All In	Warrior	No
allina	All In	Warrior	A
allinb	All In	Warrior	B
allinrare	All In	Warrior	Rare
arsenal	Arsenal	Warrior	No
arsenala	Arsenal	Warrior	A
arsenalb	Arsenal	Warrior	B
arsenalrare	Arsenal	Warrior	Rare
barbedwire	Barbed Wire	Warrior	No
barbedwirea	Barbed Wire	Warrior	A
barbedwireb	Barbed Wire	Warrior	B
barbedwirerare	Barbed Wire	Warrior	Rare
barricade	Barricade	Warrior	No
barricadea	Barricade	Warrior	A
barricadeb	Barricade	Warrior	B
barricaderare	Barricade	Warrior	Rare
battleplan	Battle Plan	Warrior	No
battleplana	Battle Plan	Warrior	A
battleplanb	Battle Plan	Warrior	B
battleplanrare	Battle Plan	Warrior	Rare
battleshout	Battle Shout	Warrior	No
battleshouta	Battle Shout	Warrior	A
battleshoutb	Battle Shout	Warrior	B
battleshoutrare	Battle Shout	Warrior	Rare
bladestorm	Blade Storm	Warrior	No
bladestorma	Blade Storm	Warrior	A
bladestormb	Blade Storm	Warrior	B
bladestormrare	Blade Storm	Warrior	Rare
bleedout	Bleed Out	Warrior	No
bleedouta	Bleed Out	Warrior	A
bleedoutb	Bleed Out	Warrior	B
bleedoutrare	Bleed Out	Warrior	Rare
bloodbath	Bloodbath	Warrior	No
bloodbatha	Bloodbath	Warrior	A
bloodbathb	Bloodbath	Warrior	B
bloodbathrare	Bloodbath	Warrior	Rare
bloodfeeding	Blood Feeding	Warrior	No
bloodfeedinga	Blood Feeding	Warrior	A
bloodfeedingb	Blood Feeding	Warrior	B
bloodfeedingrare	Blood Feeding	Warrior	Rare
bloodforblood	Blood For Blood	Warrior	No
bloodforblooda	Blood For Blood	Warrior	A
bloodforbloodb	Blood For Blood	Warrior	B
bloodforbloodrare	Blood For Blood	Warrior	Rare
bloodrage	Bloodrage	Warrior	No
bloodragea	Bloodrage	Warrior	A
bloodrageb	Bloodrage	Warrior	B
bloodragerare	Bloodrage	Warrior	Rare
bloodrain	Blood Rain	Warrior	No
bloodraina	Blood Rain	Warrior	A
bloodrainb	Blood Rain	Warrior	B
bloodrainrare	Blood Rain	Warrior	Rare
bludgeon	Bludgeon	Warrior	No
bludgeona	Bludgeon	Warrior	A
bludgeonb	Bludgeon	Warrior	B
bludgeonrare	Bludgeon	Warrior	Rare
bluff	Bluff	Warrior	No
bluffa	Bluff	Warrior	A
bluffb	Bluff	Warrior	B
bluffrare	Bluff	Warrior	Rare
bouncingshield	Bouncing Shield	Warrior	No
bouncingshielda	Bouncing Shield	Warrior	A
bouncingshieldb	Bouncing Shield	Warrior	B
bouncingshieldrare	Bouncing Shield	Warrior	Rare
burningblood	Burning Blood	Warrior	No
burningblooda	Burning Blood	Warrior	A
burningbloodb	Burning Blood	Warrior	B
burningbloodrare	Burning Blood	Warrior	Rare
butchering	Butchering	Warrior	No
butcheringa	Butchering	Warrior	A
butcheringb	Butchering	Warrior	B
butcheringrare	Butchering	Warrior	Rare
carnage	Carnage	Warrior	No
carnagea	Carnage	Warrior	A
carnageb	Carnage	Warrior	B
carnagerare	Carnage	Warrior	Rare
challengingshout	Challenging Shout	Warrior	No
challengingshouta	Challenging Shout	Warrior	A
challengingshoutb	Challenging Shout	Warrior	B
challengingshoutrare	Challenging Shout	Warrior	Rare
changeweapon	Change Weapon	Warrior	No
changeweapona	Change Weapon	Warrior	A
changeweaponb	Change Weapon	Warrior	B
changeweaponrare	Change Weapon	Warrior	Rare
charge	Charge	Warrior	No
chargea	Charge	Warrior	A
chargeb	Charge	Warrior	B
chargerare	Charge	Warrior	Rare
citadel	Citadel	Warrior	No
citadela	Citadel	Warrior	A
citadelb	Citadel	Warrior	B
citadelrare	Citadel	Warrior	Rare
cleave	Cleave	Warrior	No
cleavea	Cleave	Warrior	A
cleaveb	Cleave	Warrior	B
cleaverare	Cleave	Warrior	Rare
coatofarms	Coat of Arms	Warrior	No
coatofarmsa	Coat of Arms	Warrior	A
coatofarmsb	Coat of Arms	Warrior	B
coatofarmsrare	Coat of Arms	Warrior	Rare
colossalblow	Colossal Blow	Warrior	No
colossalblowa	Colossal Blow	Warrior	A
colossalblowb	Colossal Blow	Warrior	B
colossalblowrare	Colossal Blow	Warrior	Rare
darkblow	Dark Blow	Warrior	No
darkblowa	Dark Blow	Warrior	A
darkblowb	Dark Blow	Warrior	B
darkblowrare	Dark Blow	Warrior	Rare
defend	Defend	Warrior	No
defenda	Defend	Warrior	A
defendb	Defend	Warrior	B
defendrare	Defend	Warrior	Rare
demolishingblow	Demolishing Blow	Warrior	No
demolishingblowa	Demolishing Blow	Warrior	A
demolishingblowb	Demolishing Blow	Warrior	B
demolishingblowrare	Demolishing Blow	Warrior	Rare
demoralizingshout	Demoralizing Shout	Warrior	No
demoralizingshouta	Demoralizing Shout	Warrior	A
demoralizingshoutb	Demoralizing Shout	Warrior	B
demoralizingshoutrare	Demoralizing Shout	Warrior	Rare
devastate	Devastate	Warrior	No
devastatea	Devastate	Warrior	A
devastateb	Devastate	Warrior	B
devastaterare	Devastate	Warrior	Rare
divinestrike	Divine Strike	Warrior	No
divinestrikea	Divine Strike	Warrior	A
divinestrikeb	Divine Strike	Warrior	B
divinestrikerare	Divine Strike	Warrior	Rare
doityourself	Do it yourself!	Warrior	No
doityourselfa	Do it yourself!	Warrior	A
doityourselfb	Do it yourself!	Warrior	B
doityourselfrare	Do it yourself!	Warrior	Rare
enrage	Enrage	Warrior	No
enragea	Enrage	Warrior	A
enrageb	Enrage	Warrior	B
enragerare	Enrage	Warrior	Rare
entrench	Entrench	Warrior	No
entrencha	Entrench	Warrior	A
entrenchb	Entrench	Warrior	B
entrenchrare	Entrench	Warrior	Rare
exploitopenings	Exploit Openings	Warrior	No
exploitopeningsa	Exploit Openings	Warrior	A
exploitopeningsb	Exploit Openings	Warrior	B
exploitopeningsrare	Exploit Openings	Warrior	Rare
faststrike	Fast Strike	Warrior	No
faststrikea	Fast Strike	Warrior	A
faststrikeb	Fast Strike	Warrior	B
faststrikerare	Fast Strike	Warrior	Rare
firstaid	First Aid	Warrior	No
firstaida	First Aid	Warrior	A
firstaidb	First Aid	Warrior	B
firstaidrare	First Aid	Warrior	Rare
flankingstrike	Flanking Strike	Warrior	No
flankingstrikea	Flanking Strike	Warrior	A
flankingstrikeb	Flanking Strike	Warrior	B
flankingstrikerare	Flanking Strike	Warrior	Rare
furiousslash	Furious Slash	Warrior	No
furiousslasha	Furious Slash	Warrior	A
furiousslashb	Furious Slash	Warrior	B
furiousslashrare	Furious Slash	Warrior	Rare
gardenofthorns	Garden of Thorns	Warrior	No
gardenofthornsa	Garden of Thorns	Warrior	A
gardenofthornsb	Garden of Thorns	Warrior	B
gardenofthornsrare	Garden of Thorns	Warrior	Rare
grindingwheel	Grinding Wheel	Warrior	No
grindingwheela	Grinding Wheel	Warrior	A
grindingwheelb	Grinding Wheel	Warrior	B
grindingwheelrare	Grinding Wheel	Warrior	Rare
groundslam	Ground Slam	Warrior	No
groundslama	Ground Slam	Warrior	A
groundslamb	Ground Slam	Warrior	B
groundslamrare	Ground Slam	Warrior	Rare
guard	Guard	Warrior	No
guarda	Guard	Warrior	A
guardb	Guard	Warrior	B
guardrare	Guard	Warrior	Rare
hamstring	Hamstring	Warrior	No
hamstringa	Hamstring	Warrior	A
hamstringb	Hamstring	Warrior	B
hamstringrare	Hamstring	Warrior	Rare
headbutt	Headbutt	Warrior	No
headbutta	Headbutt	Warrior	A
headbuttb	Headbutt	Warrior	B
headbuttrare	Headbutt	Warrior	Rare
heavystrike	Heavy Strike	Warrior	No
heavystrikea	Heavy Strike	Warrior	A
heavystrikeb	Heavy Strike	Warrior	B
heavystrikerare	Heavy Strike	Warrior	Rare
helpinghand	Helping Hand	Warrior	No
helpinghanda	Helping Hand	Warrior	A
helpinghandb	Helping Hand	Warrior	B
helpinghandrare	Helping Hand	Warrior	Rare
holyslashw	Holy Slash	Warrior	No
holyslashwa	Holy Slash	Warrior	A
holyslashwb	Holy Slash	Warrior	B
holyslashwrare	Holy Slash	Warrior	Rare
impale	Impale	Warrior	No
impalea	Impale	Warrior	A
impaleb	Impale	Warrior	B
impalerare	Impale	Warrior	Rare
infuriate	Infuriate	Warrior	No
infuriatea	Infuriate	Warrior	A
infuriateb	Infuriate	Warrior	B
infuriaterare	Infuriate	Warrior	Rare
intercept	Intercept	Warrior	No
intercepta	Intercept	Warrior	A
interceptb	Intercept	Warrior	B
interceptrare	Intercept	Warrior	Rare
intimidate	Intimidate	Warrior	No
intimidatea	Intimidate	Warrior	A
intimidateb	Intimidate	Warrior	B
intimidaterare	Intimidate	Warrior	Rare
invigoratingblow	Invigorating Blow	Warrior	No
invigoratingblowa	Invigorating Blow	Warrior	A
invigoratingblowb	Invigorating Blow	Warrior	B
invigoratingblowrare	Invigorating Blow	Warrior	Rare
laststand	Last Stand	Warrior	No
laststanda	Last Stand	Warrior	A
laststandb	Last Stand	Warrior	B
laststandrare	Last Stand	Warrior	Rare
leapslam	Leap Slam	Warrior	No
leapslama	Leap Slam	Warrior	A
leapslamb	Leap Slam	Warrior	B
leapslamrare	Leap Slam	Warrior	Rare
maim	Maim	Warrior	No
maima	Maim	Warrior	A
maimb	Maim	Warrior	B
maimrare	Maim	Warrior	Rare
mortalstrike	Mortal Strike	Warrior	No
mortalstrikea	Mortal Strike	Warrior	A
mortalstrikeb	Mortal Strike	Warrior	B
mortalstrikerare	Mortal Strike	Warrior	Rare
omnipotence	Omnipotence	Warrior	No
omnipotencea	Omnipotence	Warrior	A
omnipotenceb	Omnipotence	Warrior	B
omnipotencerare	Omnipotence	Warrior	Rare
overpower	Overpower	Warrior	No
overpowera	Overpower	Warrior	A
overpowerb	Overpower	Warrior	B
overpowerrare	Overpower	Warrior	Rare
piercinghowl	Piercing Howl	Warrior	No
piercinghowla	Piercing Howl	Warrior	A
piercinghowlb	Piercing Howl	Warrior	B
piercinghowlrare	Piercing Howl	Warrior	Rare
pommel	Pommel	Warrior	No
pommela	Pommel	Warrior	A
pommelb	Pommel	Warrior	B
pommelrare	Pommel	Warrior	Rare
precisestrike	Precise Strike	Warrior	No
precisestrikea	Precise Strike	Warrior	A
precisestrikeb	Precise Strike	Warrior	B
precisestrikerare	Precise Strike	Warrior	Rare
provoke	Provoke	Warrior	No
provokea	Provoke	Warrior	A
provokeb	Provoke	Warrior	B
provokerare	Provoke	Warrior	Rare
pulverize	Pulverize	Warrior	No
pulverizea	Pulverize	Warrior	A
pulverizeb	Pulverize	Warrior	B
pulverizerare	Pulverize	Warrior	Rare
pummel	Pummel	Warrior	No
pummela	Pummel	Warrior	A
pummelb	Pummel	Warrior	B
pummelrare	Pummel	Warrior	Rare
punch	Punch	Warrior	No
puncha	Punch	Warrior	A
punchb	Punch	Warrior	B
punchrare	Punch	Warrior	Rare
pushforward	Push Forward	Warrior	No
pushforwarda	Push Forward	Warrior	A
pushforwardb	Push Forward	Warrior	B
pushforwardrare	Push Forward	Warrior	Rare
rampage	Rampage	Warrior	No
rampagea	Rampage	Warrior	A
rampageb	Rampage	Warrior	B
rampagerare	Rampage	Warrior	Rare
recklesscharge	Reckless Charge	Warrior	No
recklesschargea	Reckless Charge	Warrior	A
recklesschargeb	Reckless Charge	Warrior	B
recklesschargerare	Reckless Charge	Warrior	Rare
reinforcedsteel	Reinforced Steel	Warrior	No
reinforcedsteela	Reinforced Steel	Warrior	A
reinforcedsteelb	Reinforced Steel	Warrior	B
reinforcedsteelrare	Reinforced Steel	Warrior	Rare
rend	Rend	Warrior	No
renda	Rend	Warrior	A
rendb	Rend	Warrior	B
rendrare	Rend	Warrior	Rare
repairarmor	Repair Armor	Warrior	No
repairarmora	Repair Armor	Warrior	A
repairarmorb	Repair Armor	Warrior	B
repairarmorrare	Repair Armor	Warrior	Rare
repetitiontraining	Repetition Training	Warrior	No
repetitiontraininga	Repetition Training	Warrior	A
repetitiontrainingb	Repetition Training	Warrior	B
repetitiontrainingrare	Repetition Training	Warrior	Rare
safeguard	Safeguard	Warrior	No
safeguarda	Safeguard	Warrior	A
safeguardb	Safeguard	Warrior	B
safeguardrare	Safeguard	Warrior	Rare
secondwind	Second Wind	Warrior	No
secondwinda	Second Wind	Warrior	A
secondwindb	Second Wind	Warrior	B
secondwindrare	Second Wind	Warrior	Rare
severartery	Sever Artery	Warrior	No
severarterya	Sever Artery	Warrior	A
severarteryb	Sever Artery	Warrior	B
severarteryrare	Sever Artery	Warrior	Rare
shakeitoff	Shake it off	Warrior	No
shakeitoffa	Shake it off	Warrior	A
shakeitoffb	Shake it off	Warrior	B
shakeitoffrare	Shake it off	Warrior	Rare
sharingiscaring	Sharing Is Caring	Warrior	No
